product_name,description,how_it_fits,composition_care,sale_price,color,images
Levi's® Women's Always Bandana,"A classic like our Always Bandana was designed to be by your side. Wrap it around your neck, head or tie it on your bag strap.
A multi-purpose bandana
Wear it around your neck, head or tie it on your bag strap","50x50(cm); No Closure; Model is 6'2"" with a 30"" waist. They're wearing a size 30 x 32.",100% Cotton; Hand Wash,790 ฿,"['Light Blue', 'Regular Purple']",https://levi.co.th/cdn/shop/files/24_H2_000JC-0003_EAS_PS_LD_FV_b1adea38-ed86-44a4-abec-dd2ef74f143c.jpg?v=1728044480&width=416; https://levi.co.th/cdn/shop/files/24_H2_000JC-0003_EAS_PS_LD_BV_a50f8f47-324a-49b8-b10b-8383e7ca844f.jpg?v=1728044480&width=416
Levi's® x UNDERCOVER Long-Sleeve Tee,"We joined forces with UNDERCOVER to celebrate the 35th anniversary of Jun Takahashi’s epochal brand. Combining UNDERCOVER’s rich, archival influences with Levi’s® unmistakable DNA, this second collection introduces thoughtfully designed pieces that celebrate detailed craftsmanship, innovation and individuality.This limited-edition Long-Sleeve Tee is cut with a relaxed fit and is complete with a printed Zigzag pattern on the neck and sleeves.
...
Read more",Crewneck; Long Sleeve,100% Cotton,"2,290 ฿",['White '],https://levi.co.th/cdn/shop/files/MT_0022Z-0000_EAS_PS_LD_FV.jpg?v=1736862436&width=416; https://levi.co.th/cdn/shop/files/MT_0022Z-0000_EAS_PS_LD_BV.jpg?v=1736862436&width=416; https://levi.co.th/cdn/shop/files/MT_0022Z-0000_EAS_PS_LD_D1.jpg?v=1736862436&width=416; https://levi.co.th/cdn/shop/files/MT_0022Z-0000_EAS_PS_LD_D2.jpg?v=1736862436&width=416
Levi's® Women's Perfect T-Shirt,"Casual shirts like our Perfect T-Shirt were made to go with jeans, especially a shirt this comfortable and well-constructed. We call it perfect because it is—and it'd be too wordy to say versatile, soft and ultra-comfy.
It's called perfect for a reason
A soft, classic crewneck that goes with everything","Crewneck; Short Sleeve; Model is 6'1"" with a 32"" waist. They're wearing a size medium.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Do not dryclean, Wash inside out with like colors, Do not iron decoration","1,190 ฿","['Starstruck Heather Grey', 'Large Batwing White', 'Mineral Black', 'Box Tab Shine Bright White', 'Box Tab Shine Lotus', 'Box Tab Shine Caviar', '3d Bw Shine Rose Taupe', '3d Bw Shine Caviar']",https://levi.co.th/cdn/shop/files/levis-womens-perfect-t-shirt-24_H2_WT_17369-2742_EAS_PS_ON_FV_6e34fd65-2cfc-41fb-85ef-999f99fbeef3.jpg?v=1732005790&width=416; https://levi.co.th/cdn/shop/files/levis-womens-perfect-t-shirt-24_H2_WT_17369-2742_EAS_PS_ON_BV_3230d66d-701d-4a85-9780-b3bd74bfac2f.jpg?v=1732005790&width=416; https://levi.co.th/cdn/shop/files/levis-womens-perfect-t-shirt-24_H2_WT_17369-2742_EAS_PS_LD_FV_09cec37e-03f9-4631-abd3-8e27126d60e2.jpg?v=1732005790&width=416; https://levi.co.th/cdn/shop/files/levis-womens-perfect-t-shirt-24_H2_WT_17369-2742_EAS_PS_LD_D1_f8f0381f-df63-4803-98d7-159fb311a830.jpg?v=1732005790&width=416
Levi’s® Men’s Made in Japan 511™ Slim Jeans,"Think of this modern slim as not-so-skinny skinny jeans. (If you want the style, but not the feeling, this is a great alternative.) With a streamlined fit that’s narrow through the seat and thigh, our 511™ Slim is perfectly calibrated to look good with everything—without looking like you’re trying too hard.
The definitive slim jeans
Narrow through the seat and...
Read more","Non-Stretch; Zip fly; 5-pocket styling; Slim leg; Front rise: 10 1/4"",Knee: 16 1/4"",Leg opening: 14 1/2"",Measurements based on size 32","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","7,690 ฿","['MIJ 511 Dark Rinse', 'Mij Ash']",https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_DA_e2194a54-9256-4a4c-b64c-cec1ad8134bf.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_BV_9a07e2f6-5112-4f8a-8a81-c550cc81dd04.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_FV_5459bf8a-8bfc-4e5e-9a6c-f4d172186b4f.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_SV_377be95d-a745-4930-96b7-9a54ed6f7f29.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_D1_b1235e60-ef58-4185-9db2-b34b289177e7.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_ON_D2_798fc88d-7480-4127-a30d-6bfc82001ede.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_LD_FV_1dd25c85-f7f5-46d2-ac86-212ba38863d6.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_LD_BV_3eeb7601-6800-4c50-a55e-766d32b35971.jpg?v=1723722711&width=416; https://levi.co.th/cdn/shop/files/levis-mens-made-in-japan-511-slim-jeans-a58760006_EAS_PS_LD_D1_691a3e81-a3fe-4990-971e-bf98d6a3aac7.jpg?v=1723722711&width=416
Levi’s® Men’s Jackson Worker Overshirt,"A good overshirt's all about comfort and versatility. Our Jackson Worker Overshirt has both. With utility pocketing and a classic silhouette, this workwear-inspired overshirt is the kind of jacket you'll wear for years to come.
A durable button-up workshirt inspired by workwear
A versatile layering piece
Complete with utility pockets","Point collar; Long Sleeve; Model is 6'1"" with a 28"" waist. They're wearing a size medium.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry medium, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors","2,090 ฿","['Enzo Vintage Indigo Cord', 'Hudson Plaid Mirage Gray', 'Brody Plaid Lapis Blue', 'Tbd1 Twill']",https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_ON_FV_ab3c558d-ee42-4cee-8238-ee5edc018b31.jpg?v=1728044699&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_ON_BV_2939de5f-0f74-48ba-a0f6-b64c889a5274.jpg?v=1728044699&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_ON_DA_2189f6e5-08bf-40cb-9a4f-003b3d7f95c5.jpg?v=1728044699&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_ON_D1_48744bbc-5116-46ed-8078-63c46773070c.jpg?v=1728044699&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_LD_FV_194fd483-63de-4c0e-b075-7901ba19321f.jpg?v=1728044699&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_19573-0240_EAS_PS_LD_D1_c785fe32-97af-41d9-8e7e-3a123d7f3490.jpg?v=1728044699&width=416
Levi's® Men's 555™ Relaxed Straight Jeans,"Throwback to the '90s with our 555™ Relaxed Straight jeans. These vintage-inspired jeans pay tribute to our classic straight leg with stacking at the hem, an easy mid rise and our distinct ""anti-fit"" that gives you more room in the seat.
A '90s throwback pair of jeans
Cut with a relaxed fit through the seat and thigh
...
Read more","Recycle and reuse facility; Non-stretch; Zip fly; 5-pocket styling; Straight Leg; Front rise: 11"",Knee: 19"",Leg opening: 17"",Measurements based on size 32","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors; Recycle and reuse facility","2,890 ฿","['Wish You Would', 'Good As New Rinse', 'My Other Life', 'Next One Up']",https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_ON_FV_892cb0ab-1037-45fb-9ade-4c0a0d6076e1.jpg?v=1721212278&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_ON_BV_dce8a491-8809-458d-97ad-f6592c67efb0.jpg?v=1721212278&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_ON_SV_a9e00abd-ff01-4994-95b7-3593b83647b7.jpg?v=1721212278&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_ON_D2_5f89c4e6-840d-4e83-8872-f6deadab4f11.jpg?v=1721212278&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_LD_FV_fdc1e141-7c38-49aa-aaa4-8e930531726f.jpg?v=1721212278&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_A7223-0007_EAS_PS_LD_D1_a3146455-b26c-43ca-8dc4-203072cfbd46.jpg?v=1721212278&width=416
Levi's® Men's Original Housemark T-Shirt,"Some things are perfect just the way they are. Our Original Housemark T-Shirt is one of them. That's why we kept it simple with a timeless fit and our iconic graphic.
The essential tee, perfected
Finished with a subtle logo
Made to go with any of our jeans","Crewneck; Short Sleeve; Model is 6'1"" with a 32"" waist. They're wearing a size 32 x 32.","100% Cotton; Machine wash cold, Do not bleach, Tumble dry low, Warm iron if needed, Dry cleaning possible, Wash inside out with like colors",990 ฿,"['White', 'Mineral Black', 'Dress Blues', 'Tbd32', 'Sundown Red']",https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_ON_DA_3d9c802c-60df-41e7-b4fe-fdcded61b5b3.jpg?v=1732005351&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_ON_BV_385d4b0b-c0f5-4a75-aec9-b71244c046cc.jpg?v=1732005350&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_ON_FV_9c4a1848-37e3-4609-b87b-70a57ae47211.jpg?v=1732005351&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_ON_D1_90a33907-d4e3-4a5b-a003-93a3e73bce4b.jpg?v=1732005350&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_LD_FV_8f67636f-7100-4a59-83d5-f4dfa91012ab.jpg?v=1732005350&width=416; https://levi.co.th/cdn/shop/files/24_H2_MT_56605-0251_EAS_PS_LD_D1_2650904b-6a43-4c1b-9bd4-2cc45b76d051.jpg?v=1732005350&width=416
Levi's® Men's Reversible Core Regular Black,"The only thing better than a belt is two belts in one. With a reversible construction and harness buckle, this Reversible Core Belt style means double the options for long-lasting wear.
A versatile belt means double the options for long-lasting wear
Features a reversible harness buckle",40mm,100% Bovine Leather; Do Not Wash; Leather Working Group,"1,990 ฿",['Brown & Black'],https://levi.co.th/cdn/shop/files/24_H2_D6605-0000_EAS_PS_LD_FV_d51b9b69-75c9-4d7e-a9a1-1cb06de38375.jpg?v=1721212749&width=416; https://levi.co.th/cdn/shop/files/24_H2_D6605-0000_EAS_PS_LD_BV_09504ca8-c2a4-4e84-aa73-9a9d7d554320.jpg?v=1721212749&width=416
Levi's® Men's Circular 501® Original Jeans,"Close your eyes. Think “jeans.” Now open. They were 501® Originals, right? With a classic straight leg and iconic styling, they’re literally the blueprint for every pair of modern jeans—burned into the world’s collective cortex ever since Levi Strauss (the man himself!) introduced them in 1873. To this day they’ve never gone out of style. And they never will. Plus,...
Read more","Model is 6'1"" with a 28"" waist. They're wearing a size medium.",,"3,490 ฿","['On The Borderline', 'Help Me Out', 'Just Do You', 'Chemicals', 'Be Above It']",https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_DA_00e8820f-6c17-4823-bfcb-4d92ab348247.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_BV_02fd47c6-10a1-4e1c-b2ef-e8b206ba1d6c.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_LD_FV_50b7facb-790c-4c49-a811-103a56618abc.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_SV_730a112f-9109-4ea6-adaf-5c911838f5e6.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_D1_cca6ce92-18fc-460f-8d7c-d11e27ae47c4.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_D2_b95d5220-2909-495c-a692-f6e1d3eb58a5.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_ON_FV_c8d72aa1-a49b-48ff-94b7-bff64d85fb5d.jpg?v=1721211790&width=416; https://levi.co.th/cdn/shop/files/24_H2_MB_00501-3633_EAS_PS_LD_D1_7496a074-e2b6-4ac0-87de-f53f35b65276.jpg?v=1721211790&width=416
Levi's® Women's Button Midi Skirt,"It doesn't get more timeless than our Button Midi Skirt. We gave it a mid rise, a button-up front and finished it off with the perfect midi length.
A timeless midi skirt
Cut with a midi silhouette
Finished with a button-up front
Crafted with non-stretch denim","Non-stretch; Other Fly; Non 5 Pocket; Model is 6'1"" with a 30"" waist. They're wearing a size 30 x 32.","100% Cotton; Wash your jeans once every 10 wears at most; this increases their lifespan and saves natural resources.Machine wash cold, Do not bleach, Tumble dry medium, Hot iron if needed, Dry cleaning possible, Wash inside out with like colors","2,290 ฿",['Can We Pretend'],https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_DA_d9ec7bb9-84fc-4462-b2e8-eaa562adaf11.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_BV_97167bdf-0a6d-4e1c-9794-d5a389cc2614.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_SV_133dfa86-6c82-4e44-8b6a-d0ff9e00a69a.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_FV_476726bc-ea69-4984-92df-697cf8e67893.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_D1_9b8a103e-b525-4ca4-8f9e-72298c2f9588.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_ON_D2_a0d272f6-f5b4-4d1e-8ef8-ef5b40059e75.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_LD_FV_affd8bb1-3e26-47a8-865d-ec06e875aff5.jpg?v=1728044834&width=416; https://levi.co.th/cdn/shop/files/24_H2_WB_000MI-0000_EAS_PS_LD_BV_d4c95ccf-0862-424b-874c-1b48105cfc65.jpg?v=1728044834&width=416
